timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780660187.2727177,SEND,0,1,
1780660187.273781,ACK,0,1,0.0010633468627929688
1780660187.274585,SEND,1,1,
1780660187.2755773,ACK,1,1,0.0009922981262207031
1780660187.2767038,SEND,2,1,
1780660187.278037,ACK,2,1,0.0013332366943359375
1780660187.2792108,SEND,3,1,
1780660187.2857168,ACK,3,1,0.0065059661865234375
1780660187.2866466,SEND,4,1,
1780660187.2877522,ACK,4,1,0.0011055469512939453
1780660187.2889493,SEND,5,1,
1780660187.2902126,ACK,5,1,0.0012633800506591797
1780660187.2912364,SEND,6,1,
1780660187.2922328,ACK,6,1,0.0009963512420654297
1780660187.2935383,SEND,7,1,
1780660187.2976,ACK,7,1,0.004061698913574219
1780660187.2985654,SEND,8,1,
1780660187.3019235,ACK,8,1,0.003358125686645508
1780660187.3032005,SEND,9,1,
1780660187.304715,ACK,9,1,0.001514434814453125
1780660187.3060815,SEND,10,1,
1780660187.3072097,ACK,10,1,0.0011281967163085938
1780660187.3083649,SEND,11,1,
1780660187.3115726,ACK,11,1,0.003207683563232422
1780660187.3126278,SEND,12,1,
1780660187.315219,ACK,12,1,0.0025911331176757812
1780660187.3166113,SEND,13,1,
1780660187.318549,ACK,13,1,0.0019376277923583984
1780660187.3199172,SEND,14,1,
1780660187.3214767,ACK,14,1,0.0015594959259033203
1780660187.3230243,SEND,15,1,
1780660187.3246171,ACK,15,1,0.001592874526977539
1780660187.3260474,SEND,16,1,
1780660187.327413,ACK,16,1,0.00136566162109375
1780660187.33151,SEND,17,1,
1780660187.3357239,ACK,17,1,0.004213809967041016
1780660187.3376913,SEND,18,1,
1780660187.3397217,ACK,18,1,0.0020303726196289062
1780660187.341137,SEND,19,1,
1780660187.347039,ACK,19,1,0.00590205192565918
1780660187.3513577,SEND,20,1,
1780660187.3539827,ACK,20,1,0.002624988555908203
1780660187.3581476,SEND,21,1,
1780660187.3597152,ACK,21,1,0.0015676021575927734
1780660187.361265,SEND,22,1,
1780660187.3627665,ACK,22,1,0.0015015602111816406
1780660187.369272,SEND,23,1,
1780660187.3721344,ACK,23,1,0.0028624534606933594
1780660187.3739722,SEND,24,1,
1780660187.3754199,ACK,24,1,0.0014476776123046875
1780660187.3767717,SEND,25,1,
1780660187.3780754,ACK,25,1,0.0013036727905273438
1780660187.38048,SEND,26,1,
1780660187.3883402,ACK,26,1,0.007860183715820312
1780660187.3898644,SEND,27,1,
1780660187.3914697,ACK,27,1,0.0016052722930908203
1780660187.394101,SEND,28,1,
1780660187.3956199,ACK,28,1,0.0015189647674560547
1780660187.398886,SEND,29,1,
1780660187.4001217,ACK,29,1,0.0012357234954833984
1780660187.4017599,SEND,30,1,
1780660187.4105458,ACK,30,1,0.00878596305847168
1780660187.4116647,SEND,31,1,
1780660187.4139826,ACK,31,1,0.0023179054260253906
1780660187.4159157,SEND,32,1,
1780660187.4175918,ACK,32,1,0.0016760826110839844
1780660187.4208531,SEND,33,1,
1780660187.4221842,ACK,33,1,0.0013310909271240234
1780660187.4237378,SEND,34,1,
1780660187.4249213,ACK,34,1,0.0011835098266601562
1780660187.4292073,SEND,35,1,
1780660187.4311314,ACK,35,1,0.0019240379333496094
1780660187.4328485,SEND,36,1,
1780660187.435366,ACK,36,1,0.0025174617767333984
1780660187.4381692,SEND,37,1,
1780660187.442179,ACK,37,1,0.004009723663330078
1780660187.4432075,SEND,38,1,
1780660187.4452865,ACK,38,1,0.002079010009765625
1780660187.446479,SEND,39,1,
1780660187.4476213,ACK,39,1,0.001142263412475586
1780660187.449117,SEND,40,1,
1780660187.4509614,ACK,40,1,0.0018444061279296875
1780660187.4536238,SEND,41,1,
1780660187.4556587,ACK,41,1,0.002034902572631836
1780660187.456734,SEND,42,1,
1780660187.4611428,ACK,42,1,0.004408836364746094
1780660187.4622781,SEND,43,1,
1780660187.4640043,ACK,43,1,0.0017261505126953125
1780660187.4650018,SEND,44,1,
1780660187.4672146,ACK,44,1,0.0022127628326416016
1780660187.4701366,SEND,45,1,
1780660187.4717944,ACK,45,1,0.001657724380493164
1780660187.4731128,SEND,46,1,
1780660187.4772582,ACK,46,1,0.004145383834838867
1780660187.4783993,SEND,47,1,
1780660187.4803016,ACK,47,1,0.0019023418426513672
1780660187.4819968,SEND,48,1,
1780660187.4851534,ACK,48,1,0.0031566619873046875
1780660187.4867043,SEND,49,1,
1780660187.488339,ACK,49,1,0.0016345977783203125
1780660187.4906328,SEND,50,1,
1780660187.4942958,ACK,50,1,0.0036630630493164062
1780660187.495455,SEND,51,1,
1780660187.4976206,ACK,51,1,0.002165555953979492
1780660187.5012789,SEND,52,1,
1780660187.5043383,ACK,52,1,0.00305938720703125
1780660187.5063004,SEND,53,1,
1780660187.5077107,ACK,53,1,0.0014102458953857422
1780660187.5126925,SEND,54,1,
1780660187.5139256,ACK,54,1,0.0012331008911132812
1780660187.5182123,SEND,55,1,
1780660187.5204766,ACK,55,1,0.002264261245727539
1780660187.5220172,SEND,56,1,
