timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780663529.9188254,SEND,0,1,
1780663529.9194722,ACK,0,1,0.0006468296051025391
1780663529.9196723,SEND,1,1,
1780663529.9201694,ACK,1,1,0.0004971027374267578
1780663529.920387,SEND,2,1,
1780663529.9208488,ACK,2,1,0.00046181678771972656
1780663529.9210484,SEND,3,1,
1780663529.9216006,ACK,3,1,0.0005521774291992188
1780663529.921706,SEND,4,1,
1780663529.9221563,ACK,4,1,0.00045037269592285156
1780663529.922372,SEND,5,1,
1780663529.9228325,ACK,5,1,0.0004603862762451172
1780663529.9230494,SEND,6,1,
1780663529.923487,ACK,6,1,0.0004374980926513672
1780663529.9235888,SEND,7,1,
1780663529.92416,ACK,7,1,0.0005712509155273438
1780663529.924319,SEND,8,1,
1780663529.92692,ACK,8,1,0.0026009082794189453
1780663529.927572,SEND,9,1,
1780663529.9287992,ACK,9,1,0.0012271404266357422
1780663529.9296193,SEND,10,1,
1780663529.9327462,ACK,10,1,0.003126859664916992
1780663529.9334319,SEND,11,1,
1780663529.9346828,ACK,11,1,0.0012509822845458984
1780663529.9359295,SEND,12,1,
1780663530.0453327,TIMEOUT,12,1,
1780663530.0456798,SEND,12,2,
1780663530.048203,ACK,12,2,0.002523183822631836
1780663530.0517218,SEND,13,1,
1780663530.052488,ACK,13,1,0.0007662773132324219
1780663530.0532587,SEND,14,1,
1780663530.0543242,ACK,14,1,0.0010654926300048828
1780663530.0552354,SEND,15,1,
1780663530.0560505,ACK,15,1,0.0008151531219482422
1780663530.0566757,SEND,16,1,
1780663530.0573814,ACK,16,1,0.000705718994140625
1780663530.0581403,SEND,17,1,
1780663530.0587819,ACK,17,1,0.0006415843963623047
1780663530.0595124,SEND,18,1,
1780663530.0605004,ACK,18,1,0.000988006591796875
1780663530.0614166,SEND,19,1,
1780663530.067214,ACK,19,1,0.005797386169433594
1780663530.0709307,SEND,20,1,
1780663530.0716517,ACK,20,1,0.000720977783203125
1780663530.0724666,SEND,21,1,
1780663530.0734248,ACK,21,1,0.0009582042694091797
1780663530.0742993,SEND,22,1,
1780663530.074984,ACK,22,1,0.0006847381591796875
1780663530.07575,SEND,23,1,
1780663530.076623,ACK,23,1,0.0008728504180908203
1780663530.077282,SEND,24,1,
1780663530.077896,ACK,24,1,0.000614166259765625
1780663530.0790184,SEND,25,1,
1780663530.0813131,ACK,25,1,0.002294778823852539
1780663530.0821643,SEND,26,1,
1780663530.0835207,ACK,26,1,0.001356363296508789
1780663530.0847793,SEND,27,1,
1780663530.085597,ACK,27,1,0.0008177757263183594
1780663530.0863578,SEND,28,1,
1780663530.0915196,ACK,28,1,0.005161762237548828
1780663530.0945303,SEND,29,1,
1780663530.096001,ACK,29,1,0.0014705657958984375
1780663530.0978193,SEND,30,1,
1780663530.0992777,ACK,30,1,0.0014584064483642578
1780663530.1002357,SEND,31,1,
1780663530.10128,ACK,31,1,0.0010442733764648438
1780663530.1024945,SEND,32,1,
1780663530.105818,ACK,32,1,0.0033235549926757812
1780663530.109072,SEND,33,1,
1780663530.2121296,TIMEOUT,33,1,
1780663530.2123497,SEND,33,2,
1780663530.3124132,TIMEOUT,33,2,
1780663530.3127816,SEND,33,3,
1780663530.3165922,ACK,33,3,0.0038106441497802734
1780663530.3207338,SEND,34,1,
1780663530.32222,ACK,34,1,0.0014863014221191406
1780663530.324081,SEND,35,1,
1780663530.3334377,ACK,35,1,0.00935673713684082
1780663530.334954,SEND,36,1,
1780663530.335902,ACK,36,1,0.0009479522705078125
1780663530.3369036,SEND,37,1,
1780663530.4456537,TIMEOUT,37,1,
1780663530.445949,SEND,37,2,
1780663530.448656,ACK,37,2,0.0027070045471191406
1780663530.452213,SEND,38,1,
1780663530.4531574,ACK,38,1,0.0009443759918212891
1780663530.4542677,SEND,39,1,
1780663530.4558437,ACK,39,1,0.0015759468078613281
1780663530.4571,SEND,40,1,
1780663530.4582074,ACK,40,1,0.0011074542999267578
1780663530.4592924,SEND,41,1,
1780663530.4605517,ACK,41,1,0.0012593269348144531
1780663530.4619055,SEND,42,1,
1780663530.4638882,ACK,42,1,0.0019826889038085938
1780663530.4651523,SEND,43,1,
1780663530.4665723,ACK,43,1,0.0014200210571289062
1780663530.467652,SEND,44,1,
1780663530.4718354,ACK,44,1,0.004183292388916016
1780663530.4747581,SEND,45,1,
1780663530.4756343,ACK,45,1,0.0008761882781982422
1780663530.47658,SEND,46,1,
1780663530.4773607,ACK,46,1,0.0007808208465576172
1780663530.4784544,SEND,47,1,
1780663530.4794977,ACK,47,1,0.0010433197021484375
1780663530.4796968,SEND,48,1,
1780663530.4824228,ACK,48,1,0.0027260780334472656
1780663530.4832103,SEND,49,1,
1780663530.4845085,ACK,49,1,0.0012981891632080078
1780663530.4859636,SEND,50,1,
1780663530.486809,ACK,50,1,0.0008454322814941406
1780663530.48935,SEND,51,1,
1780663530.4933758,ACK,51,1,0.004025697708129883
1780663530.4940147,SEND,52,1,
1780663530.4951217,ACK,52,1,0.0011069774627685547
1780663530.495988,SEND,53,1,
1780663530.4979615,ACK,53,1,0.0019736289978027344
1780663530.4989982,SEND,54,1,
1780663530.500478,ACK,54,1,0.0014798641204833984
1780663530.5015469,SEND,55,1,
1780663530.6121976,TIMEOUT,55,1,
1780663530.6124623,SEND,55,2,
1780663530.6147707,ACK,55,2,0.002308368682861328
1780663530.618184,SEND,56,1,
1780663530.6190395,ACK,56,1,0.0008554458618164062
1780663530.6199794,SEND,57,1,
1780663530.6212475,ACK,57,1,0.001268148422241211
1780663530.6252217,SEND,58,1,
1780663530.7291923,TIMEOUT,58,1,
1780663530.729628,SEND,58,2,
1780663530.7333298,ACK,58,2,0.0037016868591308594
1780663530.7370584,SEND,59,1,
1780663530.738313,ACK,59,1,0.0012545585632324219
1780663530.739754,SEND,60,1,
1780663530.7416868,ACK,60,1,0.0019328594207763672
1780663530.7432933,SEND,61,1,
1780663530.7526786,ACK,61,1,0.009385347366333008
1780663530.7538955,SEND,62,1,
1780663530.7554874,ACK,62,1,0.0015919208526611328
1780663530.757227,SEND,63,1,
1780663530.758859,ACK,63,1,0.0016319751739501953
1780663530.75969,SEND,64,1,
1780663530.7608464,ACK,64,1,0.0011563301086425781
1780663530.762075,SEND,65,1,
1780663530.7640274,ACK,65,1,0.0019524097442626953
1780663530.7653043,SEND,66,1,
1780663530.7665703,ACK,66,1,0.0012660026550292969
1780663530.767457,SEND,67,1,
1780663530.7719269,ACK,67,1,0.004469871520996094
1780663530.7750573,SEND,68,1,
1780663530.7757316,ACK,68,1,0.0006742477416992188
1780663530.7766387,SEND,69,1,
1780663530.7772224,ACK,69,1,0.000583648681640625
1780663530.7781765,SEND,70,1,
1780663530.7792408,ACK,70,1,0.001064300537109375
1780663530.7811286,SEND,71,1,
1780663530.7826915,ACK,71,1,0.0015628337860107422
1780663530.783697,SEND,72,1,
1780663530.784935,ACK,72,1,0.001238107681274414
1780663530.7856412,SEND,73,1,
1780663530.7864983,ACK,73,1,0.0008571147918701172
1780663530.787197,SEND,74,1,
1780663530.7914846,ACK,74,1,0.0042874813079833984
1780663530.7952895,SEND,75,1,
1780663530.7966015,ACK,75,1,0.0013120174407958984
1780663530.7984853,SEND,76,1,
1780663530.8000314,ACK,76,1,0.0015461444854736328
1780663530.8012218,SEND,77,1,
1780663530.8023157,ACK,77,1,0.0010938644409179688
1780663530.8029346,SEND,78,1,
1780663530.8041525,ACK,78,1,0.0012178421020507812
1780663530.80922,SEND,79,1,
1780663530.8099747,ACK,79,1,0.0007545948028564453
1780663530.8107903,SEND,80,1,
1780663530.912217,TIMEOUT,80,1,
1780663530.9125905,SEND,80,2,
1780663530.916417,ACK,80,2,0.0038263797760009766
1780663530.9196641,SEND,81,1,
1780663530.9210207,ACK,81,1,0.0013566017150878906
1780663530.9223235,SEND,82,1,
1780663530.923586,ACK,82,1,0.0012624263763427734
1780663530.9251091,SEND,83,1,
1780663530.92816,ACK,83,1,0.0030508041381835938
1780663530.9380777,SEND,84,1,
1780663530.940128,ACK,84,1,0.0020503997802734375
1780663530.941707,SEND,85,1,
1780663530.9433165,ACK,85,1,0.0016095638275146484
1780663530.9450593,SEND,86,1,
1780663530.9474826,ACK,86,1,0.0024232864379882812
1780663530.9503887,SEND,87,1,
1780663530.9586973,ACK,87,1,0.008308649063110352
1780663530.9612021,SEND,88,1,
1780663530.9641793,ACK,88,1,0.002977132797241211
1780663530.9650617,SEND,89,1,
1780663530.9680846,ACK,89,1,0.003022909164428711
1780663530.968481,SEND,90,1,
1780663530.969977,ACK,90,1,0.0014958381652832031
1780663530.9713194,SEND,91,1,
1780663530.9726005,ACK,91,1,0.0012810230255126953
1780663530.9755313,SEND,92,1,
1780663530.976278,ACK,92,1,0.0007467269897460938
1780663530.9771793,SEND,93,1,
1780663530.977884,ACK,93,1,0.0007047653198242188
1780663530.9790802,SEND,94,1,
1780663530.9882233,ACK,94,1,0.00914311408996582
1780663530.9888701,SEND,95,1,
1780663530.9896393,ACK,95,1,0.0007691383361816406
1780663530.9904995,SEND,96,1,
1780663530.9916823,ACK,96,1,0.0011827945709228516
1780663530.9922097,SEND,97,1,
1780663530.9929698,ACK,97,1,0.0007600784301757812
1780663530.9937768,SEND,98,1,
1780663531.00234,ACK,98,1,0.00856328010559082
1780663531.0035028,SEND,99,1,
1780663531.0046148,ACK,99,1,0.0011119842529296875
1780663531.005383,SEND,100,1,
1780663531.006282,ACK,100,1,0.0008990764617919922
1780663531.0070636,SEND,101,1,
1780663531.007776,ACK,101,1,0.0007123947143554688
1780663531.0085933,SEND,102,1,
1780663531.0093188,ACK,102,1,0.0007255077362060547
1780663531.010122,SEND,103,1,
1780663531.0109017,ACK,103,1,0.0007796287536621094
1780663531.0123842,SEND,104,1,
1780663531.0145087,ACK,104,1,0.0021245479583740234
1780663531.0158224,SEND,105,1,
1780663531.0169933,ACK,105,1,0.0011708736419677734
1780663531.0180962,SEND,106,1,
1780663531.0229375,ACK,106,1,0.004841327667236328
1780663531.025614,SEND,107,1,
1780663531.0264971,ACK,107,1,0.0008831024169921875
1780663531.027201,SEND,108,1,
1780663531.0280328,ACK,108,1,0.0008318424224853516
1780663531.0289245,SEND,109,1,
1780663531.0309155,ACK,109,1,0.0019910335540771484
1780663531.0325742,SEND,110,1,
1780663531.0340204,ACK,110,1,0.0014462471008300781
1780663531.0353837,SEND,111,1,
1780663531.0361805,ACK,111,1,0.0007967948913574219
1780663531.0369208,SEND,112,1,
1780663531.037699,ACK,112,1,0.0007781982421875
1780663531.0383604,SEND,113,1,
1780663531.1453645,TIMEOUT,113,1,
1780663531.1457307,SEND,113,2,
1780663531.2461174,TIMEOUT,113,2,
1780663531.246631,SEND,113,3,
1780663531.25106,ACK,113,3,0.0044291019439697266
1780663531.254897,SEND,114,1,
1780663531.3623548,TIMEOUT,114,1,
1780663531.3628309,SEND,114,2,
1780663531.3664083,ACK,114,2,0.0035774707794189453
1780663531.3699625,SEND,115,1,
1780663531.3709915,ACK,115,1,0.0010290145874023438
1780663531.37217,SEND,116,1,
1780663531.3736534,ACK,116,1,0.0014834403991699219
1780663531.3750398,SEND,117,1,
1780663531.3828087,ACK,117,1,0.007768869400024414
1780663531.3838837,SEND,118,1,
1780663531.3849874,ACK,118,1,0.0011036396026611328
1780663531.3862853,SEND,119,1,
1780663531.387556,ACK,119,1,0.0012707710266113281
1780663531.3885853,SEND,120,1,
1780663531.3897648,ACK,120,1,0.0011794567108154297
1780663531.3907866,SEND,121,1,
1780663531.3917243,ACK,121,1,0.0009377002716064453
1780663531.3926358,SEND,122,1,
1780663531.395007,ACK,122,1,0.002371072769165039
1780663531.3961926,SEND,123,1,
1780663531.4049013,ACK,123,1,0.008708715438842773
1780663531.408376,SEND,124,1,
1780663531.5288215,TIMEOUT,124,1,
1780663531.5290759,SEND,124,2,
1780663531.5314069,ACK,124,2,0.0023310184478759766
1780663531.5348587,SEND,125,1,
1780663531.5357344,ACK,125,1,0.0008757114410400391
1780663531.536745,SEND,126,1,
1780663531.5381896,ACK,126,1,0.0014445781707763672
1780663531.5391374,SEND,127,1,
1780663531.645989,TIMEOUT,127,1,
1780663531.6464794,SEND,127,2,
1780663531.6507246,ACK,127,2,0.004245281219482422
1780663531.6547337,SEND,128,1,
1780663531.65609,ACK,128,1,0.001356363296508789
1780663531.6577554,SEND,129,1,
1780663531.6598911,ACK,129,1,0.002135753631591797
1780663531.6619253,SEND,130,1,
1780663531.6690888,ACK,130,1,0.007163524627685547
1780663531.6727247,SEND,131,1,
1780663531.6739333,ACK,131,1,0.0012085437774658203
1780663531.6751022,SEND,132,1,
1780663531.6759262,ACK,132,1,0.000823974609375
1780663531.6767886,SEND,133,1,
1780663531.6775427,ACK,133,1,0.0007541179656982422
1780663531.6785433,SEND,134,1,
1780663531.68405,ACK,134,1,0.005506753921508789
1780663531.6880257,SEND,135,1,
1780663531.6887832,ACK,135,1,0.0007574558258056641
1780663531.6897416,SEND,136,1,
1780663531.6904283,ACK,136,1,0.0006866455078125
1780663531.6912355,SEND,137,1,
1780663531.6918275,ACK,137,1,0.0005919933319091797
1780663531.6926658,SEND,138,1,
1780663531.6932704,ACK,138,1,0.0006046295166015625
1780663531.6941123,SEND,139,1,
1780663531.7007203,ACK,139,1,0.006608009338378906
1780663531.704208,SEND,140,1,
1780663531.7050405,ACK,140,1,0.0008325576782226562
1780663531.7058263,SEND,141,1,
1780663531.7069454,ACK,141,1,0.0011191368103027344
1780663531.7077389,SEND,142,1,
1780663531.7085292,ACK,142,1,0.0007903575897216797
1780663531.70924,SEND,143,1,
1780663531.709825,ACK,143,1,0.0005850791931152344
1780663531.710727,SEND,144,1,
1780663531.7115254,ACK,144,1,0.0007984638214111328
1780663531.71279,SEND,145,1,
1780663531.7191029,ACK,145,1,0.006312847137451172
1780663531.72211,SEND,146,1,
1780663531.7229586,ACK,146,1,0.0008485317230224609
1780663531.7238455,SEND,147,1,
1780663531.7248042,ACK,147,1,0.0009586811065673828
1780663531.7256732,SEND,148,1,
1780663531.726414,ACK,148,1,0.0007407665252685547
1780663531.7273357,SEND,149,1,
1780663531.7282753,ACK,149,1,0.0009396076202392578
1780663531.7290394,SEND,150,1,
1780663531.7313488,ACK,150,1,0.0023093223571777344
1780663531.7328298,SEND,151,1,
1780663531.73918,ACK,151,1,0.006350278854370117
1780663531.739822,SEND,152,1,
1780663531.7408245,ACK,152,1,0.0010025501251220703
1780663531.74154,SEND,153,1,
1780663531.8460183,TIMEOUT,153,1,
1780663531.8465507,SEND,153,2,
1780663531.9530194,TIMEOUT,153,2,
1780663531.9537437,SEND,153,3,
1780663531.958463,ACK,153,3,0.004719257354736328
1780663531.9625306,SEND,154,1,
1780663531.965089,ACK,154,1,0.002558469772338867
1780663531.9655862,SEND,155,1,
1780663531.9676895,ACK,155,1,0.0021033287048339844
1780663531.9697318,SEND,156,1,
1780663531.9759881,ACK,156,1,0.0062563419342041016
1780663531.9805973,SEND,157,1,
1780663531.9833248,ACK,157,1,0.002727508544921875
1780663531.9856348,SEND,158,1,
1780663531.9879377,ACK,158,1,0.002302885055541992
1780663531.9899716,SEND,159,1,
1780663532.0001109,ACK,159,1,0.010139226913452148
1780663532.0018177,SEND,160,1,
1780663532.003385,ACK,160,1,0.0015673637390136719
1780663532.0051177,SEND,161,1,
1780663532.0059533,ACK,161,1,0.0008356571197509766
1780663532.006898,SEND,162,1,
1780663532.0076869,ACK,162,1,0.0007889270782470703
1780663532.008594,SEND,163,1,
1780663532.11247,TIMEOUT,163,1,
1780663532.112988,SEND,163,2,
1780663532.118133,ACK,163,2,0.005145072937011719
1780663532.1218176,SEND,164,1,
1780663532.124136,ACK,164,1,0.0023183822631835938
1780663532.1260204,SEND,165,1,
1780663532.1275828,ACK,165,1,0.001562356948852539
1780663532.1299155,SEND,166,1,
1780663532.132633,ACK,166,1,0.0027174949645996094
1780663532.1397543,SEND,167,1,
1780663532.1437004,ACK,167,1,0.003946065902709961
1780663532.1469102,SEND,168,1,
1780663532.245862,TIMEOUT,168,1,
1780663532.2464657,SEND,168,2,
1780663532.2520185,ACK,168,2,0.005552768707275391
1780663532.2556508,SEND,169,1,
1780663532.2582862,ACK,169,1,0.002635478973388672
1780663532.2603495,SEND,170,1,
1780663532.2621937,ACK,170,1,0.001844167709350586
1780663532.2650077,SEND,171,1,
1780663532.2736883,ACK,171,1,0.008680582046508789
1780663532.2772083,SEND,172,1,
1780663532.279552,ACK,172,1,0.0023436546325683594
1780663532.2827113,SEND,173,1,
1780663532.2851603,ACK,173,1,0.00244903564453125
1780663532.2878032,SEND,174,1,
1780663532.3952198,TIMEOUT,174,1,
