timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780659764.352845,SEND,0,1,
1780659764.353472,ACK,0,1,0.0006270408630371094
1780659764.354158,SEND,1,1,
1780659766.3722436,TIMEOUT,1,1,
1780659766.3729002,SEND,1,2,
1780659766.3778374,ACK,1,2,0.004937171936035156
1780659766.379114,SEND,2,1,
1780659768.3889546,TIMEOUT,2,1,
1780659768.3896742,SEND,2,2,
1780659768.3939922,ACK,2,2,0.0043179988861083984
1780659768.3965163,SEND,3,1,
1780659770.404261,TIMEOUT,3,1,
1780659770.4045055,SEND,3,2,
1780659772.4221687,TIMEOUT,3,2,
1780659772.4226236,SEND,3,3,
1780659772.4262547,ACK,3,3,0.003631114959716797
1780659772.428757,SEND,4,1,
1780659774.4387615,TIMEOUT,4,1,
1780659774.4392047,SEND,4,2,
1780659774.4427888,ACK,4,2,0.003584146499633789
1780659774.4454284,SEND,5,1,
1780659774.4467888,ACK,5,1,0.0013604164123535156
1780659774.4482508,SEND,6,1,
1780659774.4500544,ACK,6,1,0.0018036365509033203
1780659774.4515774,SEND,7,1,
1780659776.4553437,TIMEOUT,7,1,
1780659776.455777,SEND,7,2,
1780659776.4591184,ACK,7,2,0.0033414363861083984
1780659776.4617352,SEND,8,1,
1780659778.4720051,TIMEOUT,8,1,
1780659778.4724874,SEND,8,2,
1780659780.4886575,TIMEOUT,8,2,
1780659780.4890893,SEND,8,3,
1780659782.5052922,TIMEOUT,8,3,
1780659782.505744,SEND,8,4,
1780659784.5219624,TIMEOUT,8,4,
1780659784.5224526,SEND,8,5,
1780659786.538597,TIMEOUT,8,5,
